evidence_id,path,purpose,command,timestamp_utc,source_revision,sha256,reproducible,independently_verifiable,status
EVID-DB-002,"phase8-main.log + phase8-{src,rst}-{tables,migrations,rowcounts}.txt + phase8-4-restore.log",Restore to CLEAN db; tables/migrations/rowcounts IDENTICAL across 3 comparisons. SCOPE NOTE: phase8-main.log covers steps 1-6 (all PASS); its step-7 app-build attempt hit a transient compile error under disk pressure in that run - the successful app startup evidence is phase8b-* (EVID-APP-001).,pg_restore --no-owner + psql \dt / SELECT counts,2026-09-18T15:49:09Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),ae827b2ea8ff09c71b79901f9d5aec3d99fdeae00c9b540b0a6b05526bcd9c60,yes,yes,PASS
EVID-DB-003,phase8-6-restored-rerun.log,db_integration 23/23 re-run ON the restored database,POSTGRES_URL=<restored> cargo test -p bot-core --test db_integration -- --test-threads=1,2026-09-18T15:47:54Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),8523a3d8467f0bc0910c591278696303baa669b8eb54fcfd52b6f20536309ad6,yes,yes,PASS
EVID-APP-001,phase8b-app.log + phase8b-endpoints.log + phase8b-shutdown.log + phase8b-main.log,App binary started vs restored DB: /health ok; /ready 200 (4 components); /api/status paper + live_allowed:false + kill_switch:false; /api/audit/verify served; bot_* metrics; clean SIGTERM shutdown,./target/debug/sniper-suite + curl battery + kill -TERM,2026-09-18T15:54:53Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),219eef783515322f65208c7239c6642f7efebffeab35c715e4046c491ad0e642,yes,yes - acceptance test steps 10-11,PASS
EVID-BENCH-001,benchmarks-2026-09-18.json + phase11-latency-devnet.log,"latency_bench EXECUTED (existing tests only): getSlot n=30, getLatestBlockhash n=30, simulateTransaction n=10 vs public devnet; landing_rate SKIP (funded=HUMAN ACTION); hw/toolchain/network recorded; sandbox figures, not product guarantees",E2E_NETWORK=1 cargo test -p solana-kit --test latency_bench -- --test-threads=1 --nocapture,2026-09-18T15:58:43Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),53eeac7702e05fdad38b7b7e6c1bbccb516d2d69546554ad8fe4d91d0d13c021,yes,yes - rerun (network-dependent values will differ),PASS
EVID-SEC-001,security/audit-app.log + security/audit-staking.log,"cargo audit both lockfiles: 0 errors, 9 allow-listed warnings each (.cargo/audit.toml)",cargo audit (cargo-audit 0.22.2),2026-09-18T16:16:41Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),8ecc1a0e8d8e84bcdee3e175353220cca7024748d74541ade4ce0c359f12eafe,yes,yes,PASS
EVID-SEC-002,security/deny.log,"cargo deny: advisories ok, bans ok, licenses ok (14-SPDX allow-list), sources ok",cargo deny check (cargo-deny 0.18.9),2026-09-18T16:17:01Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),3bc5c5103ee709805770f24aa062f1088e0cbafb90206895526e9f47c6e67337,yes,yes,PASS
EVID-SEC-003,security/static-scans.log,0 unsafe blocks; forbid(unsafe_code) x4; 0 TODO/FIXME/stub markers; 0 secret-pattern hits; 0 keypair files in tree,grep battery (same regexes as release-check gates 5-6),2026-09-18T16:17:16Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),f730e2557f6a59c08efd4698ffc43aae2f169e76c3f6fb821b27b2e694396ad0,yes,yes,PASS
EVID-SEC-004,security/SECURITY-EVIDENCE-INDEX.md,Deliverable D: 18-area security evidence index + honest gaps (no external audit claimed),authored from executed evidence + model docs,2026-09-18T16:00:00Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a,n/a,yes - follow references,PASS
EVID-SBOM-001,sbom/sbom-summary.log + sbom/cargo-tree-app.txt + sbom/cargo-tree-staking.txt,"SBOM evidence: lockfile sha256s (app 9740cac2..., staking 2a00d281...), 706/580 resolve-graph packages, full cargo trees, tool versions",sha256sum Cargo.lock*; cargo metadata --locked; cargo tree --locked,2026-09-18T16:17:27Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),ad8e10e1e1a2aa5e59bbcca754eecc0e34096745fce62b6945ad1003fba2b48c,yes,yes,PASS
EVID-GATE-001,release-check-final.log,"FINAL 20-gate release-check on the final tree: 20 PASS / 0 FAIL / 0 SKIP, exit 0 (incl. staking host 71/71 on post-D1-fix source)",POSTGRES_URL=... REDIS_URL=... ./scripts/release-check.sh,2026-09-18T16:38:04Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),ec269724551d8d0d0b723504bf301d007e463b51017ecfa784fe27058c58377b,yes,yes - rerun with services,PASS
EVID-GATE-002,verify-delivery-final.log,Delivery bundle integrity: 7 PASS / 0 FAIL on the 175-file tree (target/ parked; hygiene clean),./scripts/verify-delivery.sh,2026-09-18T16:45:48Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),9d6ba418074a6eef752d63cde13cad8169f0d0f3178ae37a021d300f65a48c3c,yes,yes,PASS
EVID-ID-001,../sniper-suite/scripts/staking-identity.sh,Program identity: declared id 3vEEMMFmdA88n8ApgZ3b9L3BXEh75yCeMbHbmUjR9mfy = PRE-DEPLOYMENT PLACEHOLDER; all tracked references agree; deploy refuses keypair!=declare_id + placeholder-on-public-cluster; FINAL ID = HUMAN ACTION (buyer keypair),./scripts/staking-identity.sh verify,2026-09-18T14:40:44Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),61ff70b5cb90d6b25de56567cd8ba73a8890db8568b4e354db91ee32846c48fc,yes,yes - run verify,PASS (placeholder status)
EVID-DOC-001,"../sniper-suite/docs/{LIVE-VALIDATION,BUYER-ACCEPTANCE-TEST,CI-LOCAL-EQUIVALENCE}.md","docs/LIVE-VALIDATION.md (funded live procedure; no auto-execution), docs/BUYER-ACCEPTANCE-TEST.md (22 steps), docs/CI-LOCAL-EQUIVALENCE.md (CI 1:1 map; local != GitHub run)","authored; consistency checked by doccheck.py (CLEAN, 175 files, 62 referenced paths)",2026-09-18T16:00:00Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a,n/a,yes - follow steps,PASS
EVID-BLOCK-001,(none),"BLOCKED, never converted: Docker build/compose-config/container smoke (no daemon; native-equivalent binary smoke PASSED, labeled); GitHub Actions run (no runner; 1:1 local equivalents in EVID-DOC-001); funded live validation + landing-rate (HUMAN ACTION); external security audit (none exists)",n/a,2026-09-18T16:00:00Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a,n/a,n/a,BLOCKED / HUMAN ACTION
EVID-SBF-003,phase3-sbf-determinism-rerun.log,"Determinism re-proof (COLD, complete log): full toolchain re-provision (rust 1.98.1 reinstall, agave 2.1.21 tarball sha 5da3359e... verified), fresh platform-tools download, empty sbf cache => cargo build-sbf from scratch; rebuilt .so compared byte-for-byte vs evidence/staking_suite.so.first and package binaries/staking_suite.so",bash work/sbf_determinism_rerun.sh (cargo build-sbf; sha256sum; cmp),2026-09-19T07:14:29Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),7b53e7baa7e17bd35befdf6784221b1c27a7331db7f0429ca4ffbfb9f34e5694,yes,yes - rerun script,"PASS — REBUILD_EXIT=0, BYTE_IDENTICAL=YES (cold rebuild == 57a890fa... == package binary)"
EVID-ID-002,../sniper-suite/scripts/staking-identity.sh,Handover-pass defect fix: TRACKED_FILES missed docs/BUYER-ACCEPTANCE-TEST.md (stale-placeholder risk after set-id) and post-set-id sweep would false-FAIL on release-manifest.json (delivery-time record); fixed with complete final file; verify re-run PASS with 4 tracked docs,./scripts/staking-identity.sh verify + bash -n + simulated post-set-id sweep,2026-09-19T07:47:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),24784b9bbb32dfbddea69e3a9ae2781e8976d894f54da392f2f6bfc78e560a53,yes,yes - run verify,PASS
EVID-DOC-FINAL-001,../sniper-suite/docs/ (8 new + 1 upgraded),"FEATURE-TRACEABILITY, SECURITY-BOUNDARY-MAP, FINAL-IP-AND-THIRD-PARTY-INVENTORY, BUYER-REPRODUCTION-GUIDE, FINAL-KNOWN-LIMITATIONS, FINAL-OPERATIONS-HANDOVER, FINAL-INCIDENT-RUNBOOK, FINAL-RELEASE-AUDIT added; BUYER-ACCEPTANCE-TEST upgraded to A-R record format (nothing pre-marked PASS); README claim-wording correction; doccheck CLEAN (183 files)",authored; python3 /home/user/doccheck.py,2026-09-19T07:47:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a,n/a,yes,PASS
EVID-PROV-001,"../buyer-release-final/provenance/SOURCE-PROVENANCE.{json,md}","Full source provenance: 183 per-file records (path/bytes/lines/sha256/exec-bit), tree_sha256 2da6579b..., archive/.so/manifest/README/lockfile/inventory hashes, toolchain pins (rust 1.98.1, agave 2.1.21 tarball 5da3359e..., platform-tools v1.43), build env, no secrets; MD gives buyer reproduction commands",python3 generator (recorded method in .tree.hash_method),2026-09-19T07:47:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),c1cbb5c98028f454203946b4aec0844aa2bf85f3f37473680fb3886b2dad1100,yes,yes - rerun method from MD,PASS
EVID-COMP-FINAL-001,package-completeness-final.csv,"Four-way completeness: repo vs source-tree mirror vs tarball extraction = 183/183/183, 0 missing / 0 extra / 0 mismatched; package accounting: 0 unexpected files",python3 four-way hash comparison,2026-09-19T07:47:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),33821341735614bd3362975bb0d57b8f8f2d3901f731a301d2addcb7b7b8a05b,yes,yes - rerun comparison,PASS
EVID-ARCH-FINAL-001,../buyer-release-final/source/sniper-suite-FINAL-src.tar.gz,"Normalized reproducible archive (sorted, fixed mtime/owner/gnu, gzip -9n): double extraction 0 diffs; rebuild-from-extraction BYTE-IDENTICAL",tar+gzip normalize; extract x2; rebuild; cmp,2026-09-19T07:47:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),22021e344b6550593eb1671028c476867a5ca1fe3ab66c04543bcdfbdaa4ae7b,yes,yes - commands in provenance MD §3,PASS
EVID-PKG-FINAL-001,../buyer-release-final/,FINAL package built: 314 files (312 hashed + 2 checksum files); sha256sum -c = 312/312 OK exit 0 (exact byte total: checksums/SHA256SUMS.json inside the package — indirect reference because the ledger copy is itself hashed); four-way repo/mirror/tarball 183/183/183 with 0 diffs; normalized tarball rebuild byte-identical; statuses PASS/NOT RUN/BLOCKED/HUMAN ACTION only; historical buyer-release/ preserved untouched,find+sha256sum+sha256sum -c (totals in checksums/SHA256SUMS.json),2026-09-19T07:48:47Z,2da6579b6ef20ad628dbe8b9f9f3212465fddf7bb457c0466448925f1190b909 (183-file final buyer-handover tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),"see checksums/SHA256SUMS{,.json} inside the package (self-reference avoided)",yes,yes - cd buyer-release-final && sha256sum -c checksums/SHA256SUMS,PASS
EVID-ADV-001,../buyer-release-final/evidence/handover/adversarial-audit/ (13 files) + ../work/adversarial-audit/,"Independent 23-rule zero-trust adversarial audit of handover pass: per-file diff vs both inventories = exactly the documented change set (0 Rust changes); tree-hash independent reproduction MATCH; archive rebuild byte-identical; SUMS 312/312 by second method; four-way 0 diffs; secret/hidden-file scan clean; negative-test mapping executed-ok; identity verify PASS; set-id fail-closed observed; 5 doc/integrity defects found (D-A1 exec bits, D-A2 citation+FAILED-log labels, D-A3 release-check qualification, D-A4 stale completeness bullet, D-A5 byte-count footnote) and fixed; verify-delivery re-run pre-fix AND post-fix 7/7 exit 0",bash rule logs (see INDEX.md in artifact dir),2026-09-19T08:39:48Z,033b582f79c5e1d24a301895fa98d37fae1ed01de15f0052a4b2777a6dd06946 (183-file final buyer-handover tree AFTER adversarial-audit doc fixes; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a (log directory),yes,yes - rerun any rule script,PASS
EVID-PKG-FINAL-002,../buyer-release-final/,"CORRECTION/SUPERSESSION of EVID-PKG-FINAL-001 counts after audit fixes: final package state = see checksums/SHA256SUMS.json (file_count/total_bytes, indirect because the ledger copy is itself hashed); tree 033b582f..., archive d0ab6a70deedf6fa17a8e30f02ab86353a0c282ed329f808a8d75acdf1f28ac9; four-way re-verified 0 mismatch; sha256sum -c all OK",find+sha256sum+python recompute,2026-09-19T08:39:48Z,033b582f79c5e1d24a301895fa98d37fae1ed01de15f0052a4b2777a6dd06946 (183-file final buyer-handover tree AFTER adversarial-audit doc fixes; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),"see SHA256SUMS{,.json} inside package",yes,yes - cd buyer-release-final && sha256sum -c checksums/SHA256SUMS,PASS
